size	time
1	21
26	7.03846
51	6.4902
76	6.31579
101	6.41584
126	6.09524
151	6.89404
176	6.34091
201	6.41791
226	6.25221
251	6.24303
276	9.52899
301	9.19601
326	6.57975
351	6.59544
376	7.65691
401	6.60349
426	6.47653
451	6.25277
476	6.22059
501	6.1976
526	6.23574
551	6.26679
576	6.22569
601	6.15141
626	6.1278
651	6.21966
676	6.22041
701	6.19544
726	6.42975
751	6.22104
776	6.24742
801	6.25718
826	6.21913
851	6.23267
876	6.31735
901	6.21976
926	6.2419
951	6.24606
976	6.36988
1001	6.35764
1026	6.22027
1051	6.27783
1076	6.28253
1101	6.28701
1126	6.20959
1151	6.36056
1176	6.2619
1201	6.22565
1226	6.22023
1251	6.49241
1276	8.03918
1301	6.30284
1326	6.31825
1351	6.21688
1376	6.14099
1401	6.2177
1426	6.23562
1451	6.4652
1476	6.28388
1501	6.22119
1526	6.27982
1551	6.21212
1576	6.32424
1601	6.3223
1626	6.21956
1651	6.22532
1676	6.22315
1701	6.27866
1726	8.7978
1751	6.21588
1776	6.26182
1801	6.31038
1826	6.24535
1851	6.17288
1876	6.82196
1901	6.73645
1926	6.72378
1951	6.27729
1976	6.27227
2001	6.29185
2026	6.93189
2051	6.2038
2076	6.23362
2101	6.27606
2126	6.25917
2151	6.23896
2176	6.2068
2201	6.32803
2226	6.20889
2251	6.26122
2276	6.32206
2301	6.25858
2326	6.27859
2351	6.29775
2376	6.87458
2401	6.93919
2426	6.43281
2451	6.47736
2476	6.28554
2501	6.2599
2526	6.32264
2551	6.31321
2576	6.22904
2601	6.29027
2626	7.35986
2651	6.56507
2676	6.42713
2701	6.31359
2726	8.3518
2751	7.09706
2776	6.34042
2801	7.38665
2826	7.39384
2851	6.32234
2876	6.39256
2901	6.53981
2926	6.41114
2951	6.47069
2976	6.89852
3001	6.47051
3026	6.63814
3051	6.46149
3076	6.52178
3101	6.40535
3126	6.4984
3151	6.5557
3176	6.5444
3201	6.52983
3226	6.43862
3251	9.84405
3276	7.62882
3301	6.5665
3326	7.49038
3351	7.61355
3376	6.61197
3401	8.1379
3426	6.58844
3451	6.66647
3476	6.54258
3501	6.76235
3526	6.69285
3551	6.79217
3576	6.86997
3601	7.6226
3626	7.607
3651	7.12654
3676	6.8123
3701	7.15293
3726	6.90982
3751	8.67982
3776	7.63692
3801	8.15733
3826	9.41296
3851	7.70527
3876	8.93885
3901	7.45091
3926	7.73841
3951	8.80359
3976	8.93285
4001	7.63709
4026	7.78366
4051	7.7566
4076	7.99951
4101	7.97366
4126	8.53732
4151	11.6015
4176	10.3408
4201	9.77791
4226	10.1595
4251	8.73536
4276	8.34261
4301	8.30551
4326	8.84443
4351	9.37624
4376	8.8798
4401	8.04658
4426	8.47289
4451	9.85329
4476	8.98525
4501	11.1522
4526	10.0802
4551	9.07603
4576	9.00044
4601	9.5025
4626	8.85084
4651	8.83079
4676	9.30945
4701	9.34354
4726	8.90182
4751	12.6919
4776	11.8882
4801	11.0806
4826	9.35184
4851	9.18285
4876	9.40792
4901	9.68068
4926	9.86906
4951	9.22702
4976	9.44534
5001	10.9834
5026	11.8448
5051	11.0329
5076	9.94287
5101	10.0345
5126	10.3603
5151	10.4617
5176	9.94977
5201	10.0054
5226	12.7897
5251	11.8937
5276	11.9397
5301	10.0845
5326	9.94893
5351	10.3022
5376	11.0074
5401	11.0576
5426	10.4777
5451	11.3339
5476	12.307
5501	11.7731
5526	11.1811
5551	10.8703
5576	11.0771
5601	10.5476
5626	10.7648
5651	12.2837
5676	10.8654
5701	10.8756
5726	11.138
5751	11.0205
5776	11.7055
5801	11.3091
5826	11.9267
5851	12.1533
5876	12.3336
5901	11.129
5926	11.49
5951	10.8128
5976	11.0442
6001	11.2276
6026	12.9343
6051	11.5956
6076	10.7456
6101	11.0761
6126	11.5356
6151	11.6147
6176	11.1909
6201	12.3241
6226	12.4505
6251	11.1549
6276	11.898
6301	11.3485
6326	11.3471
6351	12.1949
6376	12.5784
6401	11.6632
6426	11.1583
6451	11.6678
6476	12.1493
6501	11.4805
6526	12.4661
6551	12.8881
6576	12.7591
6601	12.2088
6626	11.6102
6651	12.121
6676	13.1681
6701	12.4275
6726	11.8927
6751	11.6036
6776	12.3086
6801	11.909
6826	12.878
6851	13.3665
6876	12.8125
6901	12.4754
6926	11.9197
6951	12.1419
6976	13.45
7001	12.904
7026	11.7272
7051	12.1929
7076	12.854
7101	12.5106
7126	13.5333
7151	13.3888
7176	12.6487
7201	12.4366
7226	12.3069
7251	13.5037
7276	13.453
7301	11.9354
7326	12.4432
7351	12.9362
7376	14.3061
7401	13.7288
7426	13.0685
7451	13.1704
7476	12.9292
7501	13.8675
7526	13.5684
7551	13.4097
7576	12.7187
7601	12.8944
7626	13.2815
7651	13.5814
7676	13.3761
7701	12.9373
7726	12.6824
7751	13.746
7776	13.4735
7801	12.3803
7826	12.8442
7851	13.0768
7876	13.4337
7901	14.3095
7926	13.015
7951	12.8938
7976	13.4614
8001	14.1865
8026	12.7709
8051	12.602
8076	13.2048
8101	13.2258
8126	14.1698
8151	13.716
8176	13.1924
8201	13.0243
8226	14.3113
8251	14.3224
8276	12.9472
8301	13.6651
8326	13.4151
8351	14.2579
8376	13.7809
8401	13.3331
8426	13.1823
8451	14.4286
8476	13.0723
8501	13.2215
8526	14.4828
8551	13.9539
8576	14.6974
8601	13.5646
8626	13.2082
8651	14.2028
8676	15.3279
8701	13.2341
8726	13.7639
8751	13.7646
8776	14.7026
8801	13.5891
8826	13.4822
8851	14.4167
8876	14.9007
8901	13.6998
8926	13.7484
8951	13.8726
8976	14.8581
9001	13.8222
9026	13.5408
9051	20.5203
9076	15.4122
9101	13.9847
9126	13.3815
9151	14.5288
9176	13.6122
9201	13.4184
9226	13.6307
9251	14.7126
9276	13.4918
9301	13.5875
9326	14.0562
9351	14.4674
9376	13.4465
9401	13.3897
9426	14.3428
9451	13.9204
9476	13.4015
9501	13.9637
9526	13.8098
9551	13.7876
9576	13.5522
9601	13.4859
9626	14.1547
9651	13.6753
9676	13.5864
9701	14.1365
9726	13.9473
9751	13.772
9776	13.62
9801	14.1809
9826	14.2104
9851	13.6548
9876	13.9108
9901	13.9699
9926	13.8
9951	13.8218
9976	13.7011
10001	14.4757
10026	13.6244
10051	13.9469
10076	13.9321
10101	14.1561
10126	13.7492
10151	13.775
10176	14.6453
10201	13.8014
10226	14.0152
10251	13.9959
10276	14.0483
10301	13.9822
10326	13.727
10351	14.593
10376	13.8841
10401	14.1376
10426	14.0907
10451	14.1178
10476	13.9084
10501	14.2573
10526	14.5283
10551	14.1017
10576	14.4168
10601	14.3164
10626	14.0441
10651	14.4161
10676	14.6039
10701	14.314
10726	14.1795
10751	14.0932
10776	14.4528
10801	14.1169
10826	14.4033
10851	14.54
10876	13.9874
10901	14.4411
10926	15.1898
10951	14.3075
10976	14.0972
11001	14.775
11026	14.1234
11051	14.4185
11076	14.4253
11101	14.3803
11126	14.1149
11151	14.5349
11176	14.4406
11201	14.3514
11226	14.2807
11251	14.4299
11276	14.2995
11301	14.7414
11326	14.5894
11351	14.1844
11376	14.6166
11401	14.5616
11426	14.3664
11451	14.5764
11476	14.627
11501	14.2959
11526	14.635
11551	14.5773
11576	14.3978
11601	14.713
11626	14.7059
11651	15.0106
11676	15.4163
11701	15.3753
11726	15.1481
11751	15.3418
11776	13.7436
11801	14.7007
11826	14.6785
11851	14.5085
11876	14.4936
11901	15.0934
11926	14.5962
11951	14.802
11976	14.7559
12001	14.51
12026	14.7263
12051	14.8289
12076	14.4241
12101	14.6307
12126	14.7119
12151	14.5059
12176	15.0236
12201	14.7206
12226	14.5801
12251	14.7563
12276	14.6505
12301	14.4853
12326	15.189
12351	14.5687
12376	14.9502
12401	14.8312
12426	14.5475
12451	14.9332
12476	14.7403
12501	14.8136
12526	14.8503
